cauhoi,traloi
chào bạn.,"xin chào, chúc bạn 1 ngày tốt lành."
hi.,"Xin chào, bạn cần tôi giúp gì?"
tôi muốn mua một chiếc điện thoại dành cho riêng mình.,"vậy bạn muốn mua điện thoại hãng nào, bên tôi có các hãng như Apple, Samsung,.."
giá Iphone 14 promax là bao nhiêu?,giá iphone 14 promax ở thời điểm hiện tại là 26480000.
thời gian dự kiến apple ra mắt iphone 15?,"vào đầu tháng 9 năm nay, ngày cụ thể thì tôi chưa biết."
điện thoại mới ra mắt gần đây của samsung?,điện thoại mới ra mắt gần đây của samsung có tên là Samsung Galaxy Z flips5 5G.
tính năng mới có trong hệ điều hành IOS 17 trên iphone?.,"có rất nhiều tính năng như chia sẻ vị trí nội tuyến, cải tiến cho AirDrop và còn nhiều thứ khác."
điện thoại Samsung Galaxy S22 5G bản 128gb giá hiện tại là bao nhiêu?,hiện tại Samsung Galaxy S22 5G bản 128gb ở shop đang có giá là 12490000đ
bên shop có bán laptop cũng như hỗ trợ build PC không ạ?,"hiện tại, shop đã có bán các sản phẩm công nghệ như laptop, nhưng không hỗ trợ build PC ạ."
"cho tôi hỏi giá của Macbook Air 13"" 2020 giá bao nhiêu ạ?","giá của Macbook Air 13"" 2020 đang rơi vào khoảng 18990000đ tại shop ạ."
shop có bán phụ kiện gamming không ạ?,"dạ có ạ, hiện tại bên em có các sản phẩm như chuột gamming, tai nghe gamming, giá đỡ tản nhiệt ạ."
shop có những phương thức hỗ trợ thanh toán nào ạ?,"shop hiện tại ngoài chấp nhận thanh toán tiền mặt, chúng tôi còn chấp nhận thanh toán thẻ visa, Zalopay,.."
lợi ích khi mua sắm tại shop?,"tại shop, bạn không cần thế chấp tài sản, không chứng minh tài chính, không cần giấy tờ công chứng"
mua sản phẩm tại shop được bảo hành như thế nào?,các sản phẩm điện thoại sẽ có chính sách bảo hành khác nhau tùy thuộc vào hãng sản xuất. khách hàng có thể bảo hành máy tại các cửa hàng trên toàn quốc cũng như các trung tâm bảo hành chính hãng sản phẩm.
