chào bạn.	xin chào, chúc bạn 1 ngày tốt lành.
hi.	Xin chào, bạn cần tôi giúp gì?
tôi muốn mua một chiếc điện thoại dành cho riêng mình.	vậy bạn muốn mua điện thoại hãng nào, bên tôi có các hãng như Apple, Samsung,..
giá Iphone 14 promax là bao nhiêu?	giá iphone 14 promax ở thời điểm hiện tại là 26480000.
thời gian dự kiến apple ra mắt iphone 15?	vào đầu tháng 9 năm nay, ngày cụ thể thì tôi chưa biết.
điện thoại mới ra mắt gần đây của samsung?	điện thoại mới ra mắt gần đây của samsung có tên là Samsung Galaxy Z flips5 5G.
tính năng mới có trong hệ điều hành IOS 17 trên iphone?.	có rất nhiều tính năng như chia sẻ vị trí nội tuyến, cải tiến cho AirDrop và còn nhiều thứ khác.
điện thoại Samsung Galaxy S22 5G bản 128gb giá hiện tại là bao nhiêu?	hiện tại Samsung Galaxy S22 5G bản 128gb ở Fpt shop đang có giá là 12490000đ
bên Fpt shop có bán laptop cũng như hỗ trợ build PC không ạ?	hiện tại, Fpt shop đã có bán các sản phẩm công nghệ như laptop, nhưng không hỗ trợ build PC ạ.
cho tôi hỏi giá của Macbook Air 13" 2020 giá bao nhiêu ạ?	giá của Macbook Air 13" 2020 đang rơi vào khoảng 18990000đ tại Fpt shop ạ.
Fpt shop có bán phụ kiện gamming không ạ?	dạ có ạ, hiện tại bên em có các sản phẩm như chuột gamming, tai nghe gamming, giá đỡ tản nhiệt ạ.
Fpt shop có những phương thức hỗ trợ thanh toán nào ạ?	Fpt shop hiện tại ngoài chấp nhận thanh toán tiền mặt, chúng tôi còn chấp nhận thanh toán thẻ visa, Zalopay,..
lợi ích khi mua sắm tại Fpt shop?	tại Fpt shop, bạn không cần thế chấp tài sản, không chứng minh tài chính, không cần giấy tờ công chứng
mua sản phẩm tại Fpt shop được bảo hành như thế nào?	các sản phẩm điện thoại sẽ có chính sách bảo hành khác nhau tùy thuộc vào hãng sản xuất. khách hàng có thể bảo hành máy tại các cửa hàng Fpt Shop trên toàn quốc cũng như các trung tâm bảo hành chính hãng sản phẩm.
mua sản phẩm tại Fpt Shop có được đổi trả không?	đối với các sản phẩm ĐTDĐ, MTB, MTXT, SMARTWATCH (Áp dụng bao gồm các sản phẩm Apple), sản phẩm cùng model, cùng màu, cùng dung lượng. Trong tình huống sản phẩm đổi hết hàng, khách hàng có thể đổi sang một sản phẩm khác tương đương hoặc cao hơn về giá trị so với sản phẩm lỗi.
Fpt Shop có chính sách giao hàng tận nhà không?	Fpt Shop cam kết giao hàng toàn bộ 63 tỉnh thành, Fpt Shop nhận giao đơn hàng có thời gian hẹn giao tại nhà trước 20h00. Miễn phí giao hàng với các đơn hàng trong bán kính 20km có đặt shop (Với đơn hàng có giá trị nhỏ hơn 100.000đ sẽ thu phí 10.000đ) nhân viên Fpt Shop sẽ tư vấn chi tiết về cách thức giao nhận thuận tiện nhất.
nếu điện thoại của tôi có vấn đề, tôi phải làm thế nào?	nếu điện thoại bạn có vấn đề, hãy đem ra Fpt shop gần nhất để nhân viên kỹ thuật tư vấn ạ.
hiện tại Fpt shop đang có những chương trình khuyến mãi nào?	hiện tại, Fpt đang có chương trình khuyến mãi giờ vàng giá sốc, diễn ra từ 14h đến 16h hằng ngày.
tôi muốn tư vấn kỹ thuật thì tôi phải làm như thế nào để được Fpt shop hỗ trợ?	để được hỗ trợ kỹ thuật, bạn hãy liên lạc số điện thoại 18006616 (Nhánh 2) để được tư vấn kỹ thuật.
tôi muốn mua hàng online thì tôi phải làm như thế nào?	bạn có thể truy cập trang web https://fptshop.com.vn/ để được hỗ trợ hoặc liên lạc số điện thoại 18006601 (Nhánh 1) để được tư vấn.
tôi là sinh viên năm nhất theo học tại hệ thống giáo dục Fpt nên khi mua hàng có khuyến mãi nào không?	có ạ, tất cả các sinh viên năm nhất theo học tại hệ thống giáo dục Fpt sẽ được phiếu giảm giá 30% mua thiết bị học tập như Laptop tại Fpt shop trên toàn quốc.
ngoài kinh doanh các thiết bị công nghệ điện tử, Fpt shop còn kinh doanh các mặt hàng nào không?	ngoài kinh doanh các thiết bị điện tử, Fpt shop còn kinh doanh các mặt hàng điện gia dụng và kinh doanh các dịch vụ tiện ích ạ.
tôi có thể thanh toán tiền điện, nước tại Fpt shop không?	dạ được ạ, Fpt shop có thu hộ tiền điện, nước. Vui lòng ra Fpt shop để được tư vấn chi tiết.
tôi cần mua Iphone 15 promax, bên hãng mình còn hàng không?	hiện tại Iphone 15 promax chưa về hàng ạ.
sản phẩm Airpod 2 còn hàng không ạ?	hiện tại, sản phẩm Airpod 2 đang tạm thời hết hàng. Vui lòng quay lại sau.
sản phẩm Airpod 3 còn hàng không?	Airpod 3 đang còn hàng ở tất cả đại lý Fpt shop ạ.
tôi cần tìm điện thoại có giá từ 3 triệu đồng.	mời bạn truy cập vào trang web https://fptshop.com.vn/dien-thoai/tu-2-4-trieu?sort=ban-chay-nhat này để biết thêm thông tin chi tiết.
sản phẩm Tivi Xiaomi Mi TV P1 55 inch có giá bao nhiêu?	hiện tại Tivi Xiaomi Mi TV P1 55 inch đang có giá 7690000đ ạ.
khi mua sản phẩm của Apple thì có chương trình khuyến mãi không?	Fpt shop đang diễn ra sự kiện giảm giá 5% trên tất cả các sản phẩm điện thoại của Apple.
Iphone 14 plus đang có giá là bao nhiêu?	Iphone 14 plus đang có giá 21490000đ ạ.
Samsung A14 5g hiện tại đang có giá bao nhiêu?	xin lỗi quý khách, bên Fpt shop không kinh doanh sản phẩm này.
kết thúc cuộc trò chuyện.	cảm ơn quý khách, chúc quý khách 1 ngày tốt lành ạ.
hiện tại sản phẩm Samsung Galaxy Z Fold 4 còn không?	hiện tại, sản phẩm Samsung Galaxy Z Fold4 hiện đang hết hàng ở tất cả các chi nhánh. Quý khách vui lòng chọn sản phẩm khác.
kết thúc cuộc trò chuyện.	Xin cảm ơn quý khách. Mong dịch vụ của chúng tôi khiến quý khách hài lòng.
Tôi không hài lòng về dịch vụ của bên bạn.	Chúng tôi rất xin lỗi vì những thiếu sót bên chúng tôi, mong quý khách thông cảm.
